Album,Year,Song,Lyrics
Know.,2018,Making It Up,"Well, I may go through this life never knowing who I am
Or why I'm here, or why I'm doing what I'm doing
I guess I'll just go with whatever my name is
And take for word everything I've learned from my father
And my father's father

And they were making it up, making it all up
What else can we do?
Yeah, we're making it up, we're making it all up
It's the only way to get through
'Cause life's so hard but life's alright
'Cause I'm here with you tonight
Making it up, making it all up

Some people think the world revolves around them
And their beautiful child
Some people like to pile things up around them
And surround themselves with a beautiful lie

Yeah, we're making it up, we're making it all up
What else can we do?
Yeah, we're making it up, we're making it all up
It's the only way to get through
'Cause life's so hard but life's alright
'Cause I'm here with you tonight
Making it up, making it all up

And there's more to this life
More than what you see
And it's true what they say
That life is but a dream
So row your boat gently
Gently down that stream
And keep dreaming your dream

And keep making it up, making it all up
What else can we do?
Yeah, we're making it up, we're making it all up
It's the only way to get through
'Cause life's so hard but life's alright
'Cause I'm here with you tonight
Making it up, making it all up"
Know.,2018,Might As Well Dance,"I can't stop thinking about you
And dreaming of your smile
I can't stop reading into ya
Love, oh yeah, you're the best book I've read in a while
I don't just read you for the articles
I read you 'til my heart is full
You keep my heart a-beatin'
You're keeping me from sleeping
The only one I'm cheating is me if I don't take control

We got nothing to lose
Might as well hold hands
(Might as well!)
Yeah, we're already fools
So we might as well dance

I put your loving arms around me once more
And we'll go crashing in the folks on the dance floor
And you can walk all over my shoes if you want to

We got nothing to lose
Might as well take off our pants
(And jacket!)
Yeah, we're already fools
So we might as well dance
(Come on!)

Soon the song will be over
We'll have to say goodnight
Don't you want some closure
Before we turn out the light?
Honey, think of your heart
Yeah, the heart's too heavy to slow
Partly 'cause it's running the show
Partly 'cause the beat is connected to the feeling
And I've got the sweetest crush on you, baby, let's go

We've got nothing to lose
Might as well hold hands
Yeah, we're already fools
So we might as well dance

We've got nothing to prove
Might as well take off our pants
(And jacket!)
Yeah, we're already fools
So we might as well dance

Yeah, we're already fools
So we might as well dance"
Know.,2018,Love Is Still The Answer,"The question is why, why are we here?
To say our hello's and goodbye's and then disappear
This beautiful life, what is it for?
To learn how to master peace or master war

There's only one answer that matters
Even if your heart has been shattered
Whatever you want, whatever you are after
Love is still the answer
Love is still the answer

We all make mistakes, no, we're not perfect yet
Maybe God made us all from an accident
The question that sits on everyone's lips
Is why should we pick ourselves up and start over again

Well, there's only one answer that matters
Even if your heart and your dreams have been shattered
Whatever you want, whatever you are after
Love is still the answer

Love, love, love, love
Love, love, love
Love, love, love, love
Love, love, love, love

The question I'll ask at the end of my days
Is what did I give and what will I take

Well, there's only one answer that matters
Even if your heart and your dreams have been shattered
Whatever you want, whatever you are after
Love is still the answer
Love is still the answer

Love, love, love, love
Love, love, love
Love, love, love, love
Love, love, love, love
Love, love, love, love
Love, love, love, love

'Cause what the world needs now is love
And all you need is love
Love, love, love, love
Love, love, love, love"
Look For The Good,2020,Look For The Good,"Look for the good in everything
Look for the people who will set your soul free
It always seems impossible until it's done
Look for the good in everyone

Look for the good in everything
Look for the people who will set your soul free
It always seems impossible until it's done
Look for the good in everyone

People done gone crazy, people done gone mad
People done forgot the superpowers we all have
We were born to love, not hate
We can decide our fate
And look for the good in everyone
And celebrate all our mistakes
If there's a silver lining (silver lining)
You still have to find it, find it, find it

Look for the good in everything
Look for the people who will set your soul free
It always seems impossible until it's done
Look for the good in everyone

Everyone needs sunshine, everyone needs rain
Everyone is carrying around some kind of pain
I see who you are, you're just like me
I see you're searching for a purpose, guided by a dream
I see who you are, I'm just like you
I get lost sometimes and I forget what I came here to do
I keep on trying (keep on trying)
When it gets frightening

Look for the good in everything
Look for the people who will set your soul free
It always seems impossible until it's done
Look for the good
Look for the good
Look for the good in everyone

Everyone is nature, everyone is God
Everyone is love and light and vibration
Look for the good, look for the good
Everyone gets mad sometimes and maybe they should
Look for the good
Look for the good
Yeah, look out for all the heroes in your neighborhood
Look for the good
Look for the good
Life sure would be sweeter if everybody would

Look for the good in everything
Look for the people who will set your soul free
It always seems impossible until it's done
Look for the good
Look for the good
Look for the good in everyone"
Look For The Good,2020,Make Love,"Put down the weapons that you use against yourself
You don't need them anymore
Lay down the weapons that you use against the world
We don't need another war
Put down the weapons that you use against yourself
You don't need them anymore
Lay down the weapons that you use against the world
We don't need another war

My worst crime is an inside job
Dark thoughts taking over like an inside mob
I tune in to the scene between the eyes
And take a breath
I sit still and watch the thoughts flow past me
Never mind the future, never mind what the past be
I like to jump and let the Universe catch me
Free fall, watch the beauty blow past me
I keep my pockets light, destination in sight
I keep my actions elevated to compassionate heights
I'm walking pacified, laying down arms in the night
Choosing love when I pick up this mic, so we can

Make love, make love, not war
Make love, make love, not war
Make love, make love, not war
Make love, make love, make love, make love

World peace begins within
In each beat of the heart underneath our skin
Breathe and release the binds
You're holding and free your mind
Step back from the drama and observe it
Draw the energy in and conserve it
Every pain is a lesson for the learning
Mother Nature didn't make us to be murdering

Make love, make love, not war (Ah, it's a choice I make)
Make love, make love, not war
Make love, make love, not war (Ah, it's a choice I make)
Make love, make love, make love, make love

Find a project to dive in, a book you can write in
A dream you can fly in, a river to cry in
A magical trip to a fantasy island
It's our horizon to widen, our ceiling to heighten
Our mind to enlighten, our soul to divine in
A time to invite in a moment of silence
And we gon' dance it out
Loud and proud
'Cause I'm gon' show you how

When I pray (When I pray)
I move my feet (Move my feet)
And I say thank you for the sound
When I hear that beat
It brings me closer (Closer)
To who I am (Who I am)
And all I'm supposed to be right now
Is a giving man
And serve you water (Water)
From the living well (The living well)
Uh, to help another get out of their hell
Gotta give a little piece of yourself and

Make love, make love
Make love, make love
Yeah, we can help each other (Help each other)
Yeah, we can help each other (Help each other)
Yeah, we can make love, make love
Make love, make love
Yeah, we can help each other (Help each other)
Yeah, we can help each other (Help each other)
Make love, make love
Make love, make love
Make love, make love
Make love, make love
Make love, make love
Make love, make love
Make love, make love
Make love, make love

Help each other
Help each other
Make love, make love
Make love, make love"
Look For The Good,2020,My Kind,"Love is the way
Love is the light
We light up today
And today is alright
Love is the way
Love will take us higher
We are aligned
And we are united

We are united by our differences
Our different kinds of interests
Our different intelligences
Artificial or natural mystic
Each one a chrysalis for perfect imperfections
Yeah, we are limitless 'cause spirit lives inside us
Mother nature did us a favor
Gave each one of us a different flavor
Different visions, different faces
Different incarnations of crazy
Some want to make some noise
Some want to hear the silence
Some want to drive the bus from town to town and give out high fives to
Teachers and bakers and movie ticket takers
To midwives and doctors and magic baby makers

'Cause if love is what you're working on
And peace is what you're dreaming
If you're fighting for freedom
You are my people

You're my kind (My kind)
You're my kind (My kind)
You're my kind (My kind)
Humankind
You're my kind (My kind)
You're my kind (My kind)
You're my kind (My kind)
Humankind

I don't believe in fighting
'Cause we ain't got that much time
Tomorrow's ground is a foundation laid down
By decisions that I make today
I don't believe in war (No)
I've been taught to love my neighbor
I've been all around
And all I've found is we're all the same
Yeah, the Chief of Police and the dealer the same
Neither the strongest can survive
Only he who can handle change
The secret to peace is to quiet the brain
Letting go with all our hearts
And letting love touch everything

If love is what you're working on
And peace is what you're dreaming
If you're combatting evil
You are my people

You're my kind (My kind)
You're my kind (My kind)
You're my kind (My kind)
Humankind
You're my kind (My kind)
You're my kind (My kind)
You're my kind (My kind)
Humankind

Yes, we are (Oh, oh, oh, oh)
Humankind
(Oh, oh, oh, oh)
We share the same room
Your moon is my moon
We all wane and wax
We all wanna take a nap in the afternoon
Some wanna be small spoon
Some wanna be big spoon
I like to rotate positions
And flip it over for a different view
Some like it reggae
Some like it smooth jazz
Some like to slow things down
Some like to shake that ass
So many different expressions to take pleasure in
You are uniquely
You just like everyone else

Love is the way
Love is the light
We light up today
And today is alright
Love is what we're working on
Peace is what we're dreaming
We are all equal
You are my people

You're my kind (My kind)
You're my kind (My kind)
You're my kind (My kind)
Humankind
You're my kind (My kind)
You're my kind (My kind)
You're my kind (My kind)
Humankind

(Oh, oh, oh, oh)
Humankind (Humankind)
(Oh, oh, oh, oh)
Humankind (Humankind)
(Oh, oh, oh, oh)
Humankind (Humankind)
(Oh, oh, oh, oh)
Humankind (Humankind)"
Look For The Good,2020,Good Old Daze,"Is it Flashback Friday again?
Actually, I can't remember when
Or where the heck I am
But I'm doing the best I can
It's been a hazy afternoon
Lackadaisically playing tunes
The kind that lift and shift my mood
To an attitude of gratitude
Today feels like a classic
Love your life as you imagined
Maybe nothing special happened
But every moment's made of magic

Because it feels like the good old daze are happening right now
Feels like the good old, the good old, the good old, the good old, the good old daze
It feels like the good old times are happening right now

I don't need no great escape
Every moment's what we make
I'm gonna take my time and try on a few paths my life can take
Every breakdown is a blessing
Every love's learning me lessons
Life will always keep me guessing
Well, I can say without a question

That it feels like the good old daze are happening right now
Feels like the good old, the good old, the good old, the good old, the good old daze
It feels like the good old times are happening right now
It feels like the good old daze

It feels like the good old daze are happening
Feels just like them good old daze

I'm loving the vibe and the energy
In line with everyone and everything
I'm feeling this way
'Cause back in the day
There was a little kid dreaming we'd be here singing

We all have a melody
And lots of good reasons to celebrate
Lots of good love, lot's of good life
Oh yeah, we're doing it right

'Cause you know that it feels like the good old daze are happening right now
Feels like the good old, the good old, the good old, the good old, the good old daze
It feels like the good old times are happening right now
It feels like the good old daze

It feels like the good old daze are happening
Feels just like them good old daze
Yes it does
Well, it feels like there's still a few years to go
It's real, these are the good old daze, yeah

Is it Flashback Friday again?
Actually, I can't remember when
Or where the heck I am
But I'm doing the best I can"
Look For The Good,2020,You Do You,"Who it is that you want me to be I can't be
I can only do me
I can only go where life takes me
Now who it is that you want me to be I can't be
I can only do me
I can only be how God made me, yeah

Yo
There's only one of me, incredibly uniquely designed
I keep my focus up ahead and leave my worries behind
I know that any goal I wanna reach starts in my mind
I'm kinda dope 'cause I'm one of a kind
I like to take my own path, never following the masses
I do my thing, taking risks, taking chances
I see no boundaries, no impasses
To living my realized dream, keeping music fresh

You do you and I'll do me
Together we'll make harmony
Together we'll make the world go 'round
'Round, 'round, 'round
You do you and I'll do me
Together we'll make harmony
Together we may dance differently but it's all good

I'm easily inspired by the people surrounding me
But still I take pride in my individuality
I might be different from the people in my family
But the truth is their roots keep grounding me
There ain't no mystery to my mastery
I just let myself act naturally
Whatever I dream may not be easy to achieve
But I still believe in equality, so

You do you and I'll do me
Together we make harmony
Together we make the world go 'round
'Round, 'round, 'round
You do you, I'll do me
Together we make harmony
Together we may dance differently but it's all good

I love the way you do you, no pretense
Heart open wide, no fear, no defense
You got your own style, you got your own reason
24/7 rock your own uniqueness
And you got me on my knees, you're my sweetness
You doing you is the ultimate realness
This me-you thing we got, let's keep this
Loving you is much deeper than a reflex
(Reflex, reflex, reflex, reflex, reflex)

Wait a minute, let me stand up for my girls
We never gonna quit till we truly rule the world
Popular thought says we should rule the world
So we gonna march it till our voices get heard
Who it is that you want me to be I can't be
All it is that I'm asking to be is just free
Free to make my choices and raise my voice up
Tell me where my sisters at and make some noise
Come on and sing it with us
She ready

Now you do you, I'll do me
Together we make harmony
Together we make the world go 'round
'Round, 'round

Yo, there's only one of me that ever will be
Never lonely by myself, so I keep doing me
Never phoney, I'm not trippin' on how things should be
I just go with the flow, carefree
Who it is that you want me to be I can't be
Who it is that you're hoping to see, that ain't me
We're just inquisitive kids on a mystic fringe
On a mission to deliver us a happier reality, so

You do you, I'll do me
Together we make harmony
Together we make the world go 'round
'Round, 'round, 'round
Now you do you, I'll do me
Together we make harmony
Together we make love and we'll make it loud
Loud, loud

You do you, I'll do me
Together we'll make harmony
Together we'll make the world go 'round
'Round, 'round, 'round, 'round
You do you and I'll do me
Together we make harmony
Together we may dance differently but it's all good
(Don't it feel good when you do you?)"
Look For The Good,2020,Wise Woman,"She's a green garden goddess
Tender of the weed
She knows how to find it
Grows everything she needs
She's a real wise woman
With so much love to give
She gives so much
'Cause she stays in touch
With what her truest nature is

She's a green garden goddess
She hears the universe
She's out there with the planet
But she keeps it down to earth

'Cause she the wise, wise woman, woman, woman
She keeps my mind open, mind open
Yeah, she's a wise, wise woman, woman, woman
She keeps her heart open, heart open

Mmh, mmh
Mmh, mmh

Yeah, she's a green garden goddess
A sage of ancient ways
Cultivating patience
Earth has her own pace
She's a real wise woman
A midwife and a teacher
A high vibration healer
Dealin' herbal remedies

And I got real high on love
(Real high on love)
She got me real high on love

And I got so high
I realized
Love is a gateway drug
And the gate's unlocked for us
Love is a wonder drug
And it grows wild, wild, wild, wild

By the wise, wise woman, woman, woman
She keeps my mind open, mind open
Yeah, she's a wise, wise woman, woman, woman
She keeps her heart open, heart open

(Wise, wise woman
Wise, wise woman)

She's a green garden goddess
Daughter of the sun
Sister to the moon
Mother to everyone

Yeah, she's a wise, wise woman, woman, woman
She keeps my mind open, mind open
She's a wise, wise woman, woman, woman
She keeps her heart open, heart open

Yeah, she's a wise, wise woman, woman, woman
She keeps my mind open, mind open, yeah
She's a wise, wise woman, woman, woman
She keeps her heart open, heart open"
Look For The Good,2020,Take The Music,"With the help of vibration through tone and rhythm
The human is forgiven and the soul gets back to living
Returns us all to our natural condition
Turns up the levels on the mind's inner visions
It plays through the space to where you are
And regulates the beating of the broken hearts
A sensation in everybody's pants
Which is why when there is music, life becomes a dance

I take the music everywhere I go
I take the music everywhere I go

Motion is the nature of vibration
It contains a thought and feeling
A baby's first pleasure is to shake its hands and feet and move
And rock the body right
Proving that motion is a sign of life
Obey your body language
It's sending a message
That doesn't ever have to touch the tongue to be expressive
I'm an instrument the spirit gets to play
I sing and I dance all day

I take the music (Music)
Everywhere I go (I go, I go, I go)
I take the music (Music)
Everywhere I go (I go, I go)

Music is the quickest way to heaven
It's the source of all creation
Listening to music will change your DNA, son
Everybody got their own transmission
The frequency of thought will impact the magnetism
LOVE is all I need to be
The message that I'm sending is the same I'll be receiving
LOVE is what energizes me
There is love within the rhythm I am breathin'

I take the music (Music)
Everywhere I go (I go, I go, I go)
I take the music (Music)
Everywhere I go (I go, I go)
I take the music (Music)
Everywhere I go (I go, I go, I go)
I take the music (Music)
Everywhere I go (I go)

Music has no limitations
Everybody's welcome
From the whisper of the trees, to the elephant that's belting
Raising hell is every bat and every bee
Every cat and every creature has a song for me
We ain't man made
We all come from nature
Every one of us is a brother and a sister
One World
We're a family of One
Where even the smallest bird hums
Even the smallest bird

There is music in our voices
Even when no words are spoken
Our bodies can speak louder than when our mouths are open
There's an under riding common frequency
That keeps us all aligned in divine harmony
Any scale, any note, any style, any meter
Music is the reason that we love to burn the reefer
Put that on record and spin it around
You and I are high on sound

I take the music everywhere I go
I take the music everywhere I go
I take the music everywhere I go
(I take the music, I take the music)
I take the music (Music) everywhere I go (I go, I go)
Music it gives us

The power to move
The power to speak
The power to choose
The power to dream
The power to vote
The power to fly
The power to laugh
The power to cry

The power to live
The power to play
The power to take your breath away
The power to love
The power to be

I take my power with me (Power)
Everywhere I go (I go, I go, I go)
I take my power (Power)
Everywhere I go (I go, I go)

I take the music (Music)
Everywhere I go (I go, I go, I go)
I take the music (Music)
(I go, I go)

(Take the music, take the music)
(Take the music, take the music)
(Music)
(Take the music, take the music)
(Take the music, take the music)"
Look For The Good,2020,Time Out,"Who's sorry? I'm not sorry (Who's sorry? I'm not sorry)
Who's sorry? I'm not sorry (I'm not sorry)

You twist & you turn
You got the urge to burn
The government should really be the least of your concern
The privilege to do is what you earn
To be yourself & free yourself is what I've come to learn
No more political dreams or elusive schemes
A reefer-lution outbreak is what it seems
Gimme consent, yes to vape or steam
Burn to redeem

I've been playing too hard for way too long
Burning the candle at both ends & now it's gone
I feel broken
Busted-open
I thought I was a baller but my body has spoken
No joke, we go for the glory
But I'll probably have another 'fore I finish this story
And one more inside of me
Then both my body & my mind, don't need apologies

Well, who's sorry? I'm not sorry (Who's sorry? I'm not sorry)
Who's sorry? I'm not sorry (I'm not sorry)

I guess It's time to take a time
Time, time, time to take a time out (Time out)
Slow down & take-a time
Time, time, time to take a time out (Time out)

I've been working overtime for way too long
I gave it everything I had till all emotion was gone
And now I'm hoping to move along
Away from any voice that makes me think I am wrong
I need focus
No hocus pocus
I'm gonna throw my freaking phone in the ocean

Who's sorry? I'm not sorry (Who's sorry? I'm not sorry)
Who's sorry? I'm not sorry (I'm not sorry)

Because it's time to take a time
Time, time, time to take a time out (Time out)
Lay down & take-a time
Time, time, time to take a time out (Time out)
It's time to take a time
Time, time, time to take a time out (Time out)
4: 20 is the time
Time, time, time to take a time out (Time out)

Out of respect-a
I request-a
That we take a little time to siesta
Save the drama
For your mama
'Cause this ain't Broadway
I'll remind ya
I require
Time to re-stoke proverbial fire
And retire
A la playa
Because life is a beach anyway

I'm taking it easy (Taking it easy)
I'm taking it slow (Taking it slow)
You bet I'm taking it easy (Taking it easy)
I'm taking it slow

Tick a tick a tock a dis is no time to rock
Tick a tick a tock a this a must Spliff-a-clock
Excuse me while I light mi likkle ting upon the dock
Time fi mi self ah man a mi nuh need nuh flock
Undivided & provided by mi brethren 'round the block
The sky-grade a my-grade, it loud like a glock
Sticky like a sitten whey dem have inna the stock
Time to meditate a mi seh time to get knock

Are you medicated & the answer is yes
Too bless to be stressed & even when mi penny less
Mi nuh worry none at all a chaos mi nuh digest
Light another one & circumnavigate the stress
Sorry everybody but mi haffi confess
Product of the ghetto now mi living in the west
Mi nuh hesitate when mi burning the best
Mi nuh hesitate when mi burning the best

It's time to take a time
Time, time, time, to take a time out (Time out)
Slow down & take a time
Time, time, time to take a time out (Time out)
Take a time
Time, time, time, time to take a time out (Time out)
Slow down & take a time
Time, time, time to take a time out
(Mi nuh hesitate when mi burning the best)
(Mi nuh hesitate when mi burning the best)"
Look For The Good,2020,DJ FM AM JJASON,"I send you my love (Send you my love)
Around the clock (Don't stop)
Twenty-four seven, three hundred sixty-five

My DJ name DJ FM AM JJASON
I'm 365 days of fun
I'm grateful for my blessings on a daily basis
365 means no vacations
I'm infinite & endless, just like outer space is
A cousin to the planet's 7 billion faces
I spin around the sun
I go through moon phases
My calendar is busy 'cause I'm busy going places
Enjoying the ride in all its various stages
Enjoying this time before the season changes
My DJ name DJ FM AM JJASON
This music is my qualification

To send you my love (Send you my love)
Around the clock (Don't stop)
Twenty-four seven, three hundred sixty-five
I send you my love (Send you my love)
Around the clock (Don't stop)
Twenty-four seven, three hundred sixty-five (That's right, that's right)

My DJ name DJ FM AM JJASON
Like the Goddesses & Gods, I know my spirit is ancient
My game moves slow
At natural paces
Remembering to breathe is my meditation
My pen is my sword, I draw blood on these pages
I make love not war because peace is courageous
These beats are persuasive to raise our vibrations with love & appreciation
I ain't giving up this job to robotic automation
I take the music making my own radio station
My DJ name is just a fun abbreviation
This song is a dedication

To send you my love (Send you my love)
Around the clock (Don't stop)
Twenty-four seven, three hundred sixty-five
I send you my love (Send you my love)
All the time (Don't stop)
Twenty-four seven, three hundred sixty-five
(I like that)
(I, like, that)
(Do you like that?)
(I, like, that)

My DJ name DJ FM AM JJASON
I focus not on drama but on recreation
I'm planting new seeds for regeneration
Awakening dreams out of suspended animation
My resolutions renew because we change some
Every revolution is part of the equation
Multisyllabic sing-alongs are still my favorite
'Cause there's 99 digits & a comma just ain't one
We share the same DJ name 'cause it's famous
It's an acronym of calendar pages
From December to November we're in constant rotation
DJ FM AM JJASON

I send you my love (Send you my love)
Around the clock (Don't stop)
Twenty-four seven, three hundred sixty-five
To send you my love (Send you my love)
Around the clock (Don't stop)
Twenty-four seven, three hundred sixty-five
I send you my love (Send you my love)
All the time (Don't stop)
Twenty-four seven, three hundred sixty-five
I send you my love (Send you my love)
All the time (Don't stop)
Twenty-four seven, three hundred sixty-five
(Love & Appreciation)"
Look For The Good,2020,Hearing Double,"I love you so much I have to say it twice
Just incase you didn't hear me the first time
You are the most beautiful girl I ever laid my eyes on
And I wish you'd let me call you mine

Love might be no trouble at all
Love might make you hear double if you fall
Love might be no trouble this night
Love might make you stutter when its right

Tell me what your thinking
With no delay (Delay)

Do I even stand a chance to score a date
(Double, date)

I feel so damned crazy
My poor heart could break
That's why I sing love songs
Everyday
Everyday

Love might be no trouble at all
Love might make you hear double if you fall

Love might be no trouble this night (That's right)
Love might make you stutter when its right

But love might make you stutter when its right

But love might make you stutter when its right"
Look For The Good,2020,The Minute I Heard Of Love,"I looked under every rock and under every moon
I looked in every favourite spot
I looked in all of my favourite tunes
I looked all over the world
What else was I supposed to do?

No matter where I find myself
I find myself looking for you

The minute I heard of love I started looking for you
The minute I heard of love I started looking for you
The minute I heard of love I started looking for you
The minute I heard of love I started looking for you

Some say love is blindness
Some say God is love
Some say love is kindness
Well, it's all of the above
I hope there's a life after death
'Cause there's so much left here I wanna do

Yeah, no matter how I find myself
I find myself looking for you

The minute I heard of love I started looking for you
The minute I heard of love I started looking for you
The minute I heard of love I started looking for you
The minute I heard of love I started looking for you

When I was 12 years old
And undergoing so many changes
Emotionally out of control
Hair coming out of new places
I started feeling myself
What else is a boy to do?

And no matter when I found myself
I define myself looking for you

The minute I heard of love I started looking for you
The minute I heard of love I started looking for you
The minute I heard of love I started looking for you
The minute I heard of love I started looking for you"
Look For The Good,2020,Gratitude,"I'm so grateful
I'm so grateful

I thank the boys who kicked my ass when I was seventeen
I thank the ones who chose to laugh and those who acted mean
I thank the bullies for all their scraps and accidents and then some
They shaped my life
They made me like who I've become
They shaped my life
They made me love who I am

I thank the girls who gave their hand and showed me how to dance
And I thank the ones who turned me down and never gave me a second chance
I learned that it's okay for hearts to go on their own way
They shaped my life
They made me like who I am today
They shaped my life
They made me love who I am
That's right
That's right

Now I've got gratitude
Yes, I do
Gratitude
I've got gratitude
Yes, I do
Gratitude

I thank the captains of the boats who braved the seas (Thank you! Thank you!)
And I thank the farmers for the sowing of those seeds (Thank you!)
And I thank the men who paved the roads I'm traveling on (Thank you!)
They shaped my life
They took me down the paths I've gone

I thank the volunteers for giving up their time for free (Thank you!)
I thank the engineers
All those who keep our water clean (Thank you!)
I thank the janitors for all their years behind the scenes (Thank you!)
They shaped my life
They taught me generosity
(YEAH!)
They shaped my life
They helped me see who I could be

Now I've got gratitude
Yes, I do
Gratitude
I've got gratitude
Yes, I do
Gratitude

So grateful
Let me tell you what I'm grateful for

I am grateful for deep breaths
I'm grateful for my health (Grateful! Grateful!)
I know tomorrow is uncertain and I know time is our greatest wealth
I am grateful for my teachers (Teachers!)
And there's many of 'em
They taught me how to follow my heart
They taught me that all of the world is a stage (All of the world is a stage!)
They taught me life imitates art
I am grateful for my parents (Grateful! Grateful!)
And I'm grateful they divorced (Grateful! Grateful!)
When they divided they multiplieded and two parents became four (Grateful! Grateful!)
And I am grateful for my fur friends (Grateful! Grateful!)
The ones that follow me around
Singing ""Meow, meow, meow, meow, meow, meow, meow""
They remind me to slow down (Slow down)
To kneel and kiss the ground (Thank you! Thank you!)
I am grateful for music (Music!)
It helps me feel understood (Thank you! Thank you!)
And I'm grateful to Gratitude itself (Thank you!)
It helps me look for the good (Thank you!)
Look for the good (Thank you! Thank you!)
I look for the good (Thank you! Thank you!)
Look for the good"
Look For The Good,2020,Before It All Ends,"It hasn't rained in a hundred days
But the waters still rising in other ways
The world may soon be going down the drain
I just want more time with my baby before it all ends
It's getting hot, it was hotter today
I hope tomorrow we can still go out and play
The world may soon be going up in flames
I just want more time with my baby before it all ends

Before it all ends
Because a meteor came crashing on our beds
Before it all ends
Because our president threw nuclear warheads
Before it all ends
Because the internet done swallowed all my friends
I just want more time with my baby before it all ends

Of all that's been not much remains
The only constant thing is change
The world may soon be going down the commode
I just want more time with my baby before we explode

Before it all ends
Because the earth is flat and we all went over the edge
Before it all ends
Because we all got anal probed by aliens
Before it all ends
Because everyone thought dollars made more sense
I just want more time with my baby before it all ends
I just want more time with my baby before it all ends
This is not a joke
I just want more time with my baby before it all ends"
Look For The Good,2020,Be Where Your Feet Are,"Feels like I'm surfing on a soundwave
Zooming through the universe
Feels like we're bouncing off of lightwaves
A bounce so hard sometimes it hurts, mmh-hm

Well every time I think I'm stuck
The sun moves along and my shadow gets up
If you're lost (if you're lost) relax (relax)
And be where your feet are (and be where your feet are)

Uh, yeah

Every time I try to follow someone's way
My end result is not the same
But then I do that thing, that thing I do that's just for me
And amazing things start happening, and again and again and

Every time I think I'm stuck
The sun moves along and my shadow gets up
If you're lost (if you're lost) relax (relax)
And be where your feet are (be where your feet are)

Outer space is where I'm spacing out
Still looking up when I'm feeling down, mmh-hm
I try to walk the talk, I talk but the tail is taller
When I look up, it's still too easy to feel small, still I found
If you're lost (if you're lost) just relax (relax)
And be where your feet are (be where your feet are)

If you ever get lost (if you're lost) relax (relax)
And be where your feet are (be where your feet are)
If you ever get lost (if you ever get lost) kick back (relax)
And be where your feet are (be where your feet are)
If you ever get lost (if you ever get lost) kick back (relax)
And be where your feet are, be where your feet are
I'm gon' be right here"
